Country/Region,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious Critical,Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population
Faeroe Islands,771.00,0.00,1.00,0.00,757.00,0.00,13.00,0.00,15720.00,20.00,304454.00,6207519.00,49046.00
Falkland Islands,63.00,0.00,0.00,0.00,63.00,0.00,0.00,0.00,17603.00,0.00,7307.00,2041632.00,3579.00
Fiji,3591.00,262.00,15.00,0.00,753.00,17.00,2823.00,2.00,3977.00,17.00,190822.00,211358.00,902837.00
Finland,95084.00,95.00,969.00,0.00,46000.00,0.00,48115.00,6.00,17135.00,175.00,5376090.00,968805.00,5549200.00
France,5768443.00,0.00,110951.00,0.00,5601802.00,0.00,55690.00,1349.00,88181.00,1696.00,92238273.00,1410031.00,65415797.00
French Polynesia,18994.00,0.00,142.00,0.00,18828.00,0.00,24.00,0.00,67234.00,503.00,26355.00,93290.00,282506.00
Gabon,24984.00,0.00,159.00,0.00,24598.00,0.00,227.00,12.00,10971.00,70.00,873543.00,383607.00,2277181.00
The Gambia,6069.00,0.00,181.00,0.00,5855.00,0.00,33.00,3.00,2444.00,73.00,82460.00,33209.00,2483090.00
Georgia,363522.00,585.00,5266.00,11.00,349658.00,953.00,8598.00,0.00,91300.00,1323.00,5744137.00,1442664.00,3981617.00
Germany,3734136.00,0.00,91303.00,0.00,3619400.00,1000.00,23433.00,889.00,44429.00,1086.00,63091197.00,750659.00,84047800.00
Ghana,95259.00,0.00,794.00,0.00,93148.00,0.00,1317.00,9.00,3004.00,25.00,1252073.00,39487.00,31708826.00
Greece,420670.00,0.00,12637.00,0.00,402776.00,0.00,5257.00,238.00,40555.00,1218.00,10505135.00,1012755.00,10372826.00
Greenland,50.00,0.00,0.00,0.00,41.00,1.00,9.00,1.00,879.00,0.00,29033.00,510542.00,56867.00
Guatemala,290852.00,0.00,9008.00,0.00,261133.00,0.00,20711.00,5.00,15945.00,494.00,1573177.00,86245.00,18240691.00
Guinea,23692.00,0.00,168.00,0.00,22392.00,0.00,1132.00,24.00,1757.00,12.00,467493.00,34677.00,13481395.00
Guinea-Bissau,3846.00,0.00,69.00,0.00,3574.00,0.00,203.00,4.00,1910.00,34.00,72428.00,35970.00,2013565.00
Guyana,19774.00,0.00,462.00,0.00,17647.00,0.00,1665.00,19.00,25021.00,585.00,184476.00,233429.00,790289.00
Haiti,18212.00,0.00,413.00,0.00,12802.00,0.00,4997.00,0.00,1578.00,36.00,87360.00,7571.00,11539132.00
Honduras,259628.00,1279.00,6916.00,14.00,92309.00,56.00,160403.00,603.00,25810.00,688.00,788753.00,78411.00,10059262.00
Hong Kong,11918.00,6.00,211.00,0.00,11625.00,1.00,82.00,1.00,1577.00,28.00,16710131.00,2211266.00,7556817.00
Hungary,807910.00,0.00,29980.00,0.00,737233.00,0.00,40697.00,22.00,83841.00,3111.00,6094415.00,632453.00,9636162.00
Iceland,6637.00,0.00,30.00,0.00,6595.00,0.00,12.00,1.00,19326.00,87.00,749087.00,2181237.00,343423.00
India,30233183.00,863.00,395780.00,0.00,29251029.00,7694.00,586374.00,8944.00,21698.00,284.00,404265101.00,290140.00,1393346055.00
Indonesia,2115304.00,21342.00,57138.00,409.00,1850481.00,8024.00,207685.00,0.00,7654.00,207.00,19440301.00,70342.00,276367238.00
Iran,3167741.00,9758.00,83845.00,134.00,2835633.00,12929.00,248263.00,3190.00,37246.00,986.00,23308926.00,274064.00,85049296.00
Iraq,1321232.00,0.00,17061.00,0.00,1226959.00,0.00,77212.00,560.00,32141.00,415.00,11541261.00,280762.00,41106974.00
Ireland,270920.00,0.00,4989.00,0.00,255310.00,0.00,10621.00,13.00,54271.00,999.00,4729538.00,947423.00,4992005.00
